Day/Time,Activity,Notes,Cost,Climate
Day 1 - 08:30 AM,Arrive in Kannur and check‑in at hotel,"Drop luggage, freshen up; choose a centrally located hotel for easy access to attractions",,
Day 1 - 09:00 AM,Breakfast,"Traditional Kerala breakfast (appam, puttu, kadala curry) at the hotel or nearby eatery",,
Day 1 - 10:00 AM,Visit St. Angelo Fort,Historic Portuguese fort with sea‑view; entry free; wear comfortable shoes,,
Day 1 - 11:30 AM,Relax at Payyambalam Beach,"Short walk on the sandy shoreline, optional swim; no entry fee",,
Day 1 - 01:00 PM,Lunch,Seafood thali at a local restaurant near the fort,,
Day 1 - 02:00 PM,Drive to Paithalmala,Approximately 2‑hour drive via NH66; enjoy the scenic countryside,,
Day 1 - 04:15 PM,Start trek to Paithalmala summit,"Moderate trek (≈2 km); carry water, hat and sunscreen; entry fee about ₹10 per person",,
Day 1 - 06:15 PM,Sunset at Paithalmala peak,Panoramic views of the Western Ghats and Arabian Sea; perfect photo spot,,
Day 1 - 07:15 PM,Return to Kannur,Drive back; optional stop for a light snack en route,,
Day 1 - 08:30 PM,Dinner,"Kerala cuisine (karimeen fry, avial) at a recommended local restaurant",,
Day 2 - 07:30 AM,Breakfast,Hotel buffet or nearby café with fresh fruit and coffee,,
Day 2 - 08:30 AM,Muzhappilangad Drive‑in Beach,Unique 5 km drive‑in beach; parking fee ₹20; enjoy a short walk and beach photos,,
Day 2 - 10:30 AM,Explore Dharmadam Island,Short boat ride (≈15 min); entry fee ₹30; snorkel or relax on the sand,,
Day 2 - 12:30 PM,Lunch,Traditional Kerala thali at a popular eatery in Kannur town,,
Day 2 - 01:30 PM,Visit Kannur Fort and nearby museum,Explore the colonial fort and learn about local history; entry ₹5,,
Day 2 - 03:00 PM,Shopping at Kannur market,"Buy spices, handloom fabrics, and local handicrafts; bargain politely",,
Day 2 - 04:30 PM,Theyyam performance (if scheduled) or beachfront stroll,Check local timings and book in advance; otherwise enjoy a leisurely walk along the shore,,
Day 2 - 06:00 PM,Early dinner,Local delicacies at a seaside restaurant; try fish curry and banana chips,,
Day 2 - 07:30 PM,Evening leisure / night market,Relax at the hotel or explore the local night market for snacks and souvenirs,,
Day 2 - 09:00 PM,Depart from Kannur,Return to your onward destination; ensure you have all belongings,,
